transaction_id,customer_name,email,age,country,product_category,unit_price,quantity,transaction_date,payment_method
ORD100000,Patricia Gardner,,66.0,Nigeria,Groceries,499.99,3,2024-04-16,Cash
ORD100001,David Lucero,patrickvalenzuela@hart.biz,39.0,nigeria,Groceries,2500,,2024-08-18,Transfer
ORD100002,Richard Carter,qdiaz@perez-booker.com,59.0,Nigeria,Electronics,499.99,3,2024-04-27,Card
ORD100003,Scott Underwood,donna50@gmail.com,51.0,USA,Electronics,"1,500",3,2024-10-14,Card
ORD100004,Shawn Castro,betty24@jones-russell.com,23.0,Nigeria,Groceries,500,2,2024-04-16,Cash
ORD100005,James Castillo,vmay@hotmail.com,48.0,Nigeria,Groceries,500,4,2025-02-09,Card
ORD100006,Anna Peterson,sandovaldavid@hotmail.com,40.0,United States,Groceries,"1,500",3,2025-02-17,card
ORD100007,Casey Dean,,,United Kingdom,Groceries,500,5,2025-06-28,Card
ORD100008,Paul Smith,ortizbarbara@warren.com,25.0,United Kingdom,Home,500,4,2025-08-17,Transfer
ORD100009,Dennis Bauer,watsonrandy@yahoo.com,,Nigeria,Fashion,499.99,4,2024-06-11,Card
ORD100010,Joanna Pierce,emilylewis@gmail.com,35.0,United States,Electronics,500,3,2024-11-01,Cash
ORD100011,Cheryl Martin,patricia01@gmail.com,20.0,Nigeria,Fashion,1200,,2024-08-02,card
ORD100012,Cheryl Richard,mercerjoseph@yahoo.com,52.0,Nigeria,Groceries,500,1,2024-03-03,
ORD100013,Amy Carroll,,49.0,Nigeria,Home,500,2,2025-03-23,
ORD100014,Jared Rogers Jr.,brownzachary@gmail.com,34.0,Ghana,Groceries,1200,1,2025-01-05,Cash
ORD100015,Troy Norris,fernandezpatricia@hotmail.com,38.0,nigeria,electronics,2500,4,2024-04-19,Transfer
ORD100016,James Hill,john33@bradley.com,66.0,nigeria,Electronics,499.99,,2025-02-16,card
ORD100017,Daniel Bell,laura31@cantu.com,19.0,Nigeria,Electronics,2500,4,2024-06-08,Card
ORD100018,Amanda Knight,carla85@yahoo.com,37.0,United Kingdom,Home,2500,2,2024-08-24,Transfer
ORD100019,Miss Colleen Rivas,,41.0,Nigeria,Electronics,"1,500",,2025-02-16,Transfer
ORD100020,Eric Castaneda,kwallace@gmail.com,23.0,Nigeria,Electronics,500,1,2024-09-09,Cash
ORD100021,Billy Bradley,zjohnson@hotmail.com,49.0,Nigeria,Fashion,500,5,2025-04-20,Cash
ORD100022,Joseph Patterson,xtownsend@bauer-valdez.info,30.0,Turkey,electronics,2500,3,2024-09-07,Card
ORD100023,Michele Copeland,renee77@hotmail.com,,United Kingdom,Groceries,1200,1,2025-10-13,Cash
ORD100024,Stephanie Garcia,stewartsarah@gmail.com,61.0,United States,Fashion,1200,1,2026-01-12,
ORD100025,Jason Sutton,elaine69@montoya.net,25.0,Nigeria,Electronics,500,1,2025-01-07,Cash
ORD100026,Derrick Harrison,vtapia@mccoy.info,61.0,nigeria,Home,499.99,-1,2026-02-16,card
ORD100027,Michelle Mcknight,benjamin19@gmail.com,36.0,United States,electronics,2500,1,2025-07-15,Transfer
ORD100028,Denise Mcneil,nicoleholland@yahoo.com,44.0,United States,Electronics,1200,2,2024-06-24,Cash
ORD100029,Tammy Murphy,paul35@lawrence.com,30.0,nigeria,Electronics,499.99,2,2024-03-17,Cash
ORD100030,Emily Nelson,thomasclayton@beard.net,35.0,Ghana,Electronics,2500,2,2024-11-10,Card
ORD100031,Stephanie Delgado,tgarcia@yahoo.com,25.0,Ghana,Home,499.99,1,2025-09-07,
ORD100032,Stephen Hall,natalie81@cruz.com,44.0,Nigeria,electronics,1200,1,2024-10-31,Card
ORD100033,Christina Hughes,kimberly64@gregory-washington.com,69.0,Ghana,electronics,2500,5,2025-10-04,Cash
ORD100034,Lori Velez,travis31@gmail.com,67.0,nigeria,Electronics,1200,1,2025-02-01,Card
ORD100035,Rhonda Calderon,misty05@james-stephenson.com,,United Kingdom,Groceries,500,,2025-07-15,card
ORD100036,Cheyenne Robinson,katherine29@gmail.com,,Ghana,Fashion,500,5,2024-12-16,Card
ORD100037,Brandon Williams,robintaylor@clark.com,40.0,Ghana,Electronics,500,1,2024-04-02,Transfer
ORD100038,Collin Greene,kcollins@smith.org,,United Kingdom,electronics,499.99,1,,card
ORD100039,Anna Nelson,michelleschroeder@lee.info,18.0,nigeria,Groceries,2500,3,2026-01-05,Card
ORD100040,Casey Campbell,justinlarsen@nelson.com,33.0,United States,Electronics,"1,500",1,2026-01-26,Transfer
ORD100041,Henry Clark,fsimpson@gmail.com,39.0,Nigeria,Electronics,500,3,2024-04-13,Card
ORD100042,Eric Garrett,jamiefischer@harvey.com,40.0,USA,electronics,500,1,2025-05-10,card
ORD100043,Jason Thomas,xmorse@sandoval.com,49.0,nigeria,Electronics,500,,2024-09-25,
ORD100044,Eric Kemp MD,samueldavis@hotmail.com,22.0,United Kingdom,electronics,500,5,2024-08-22,card
ORD100045,Bryan Russell,jeffreywebb@spencer-richardson.net,36.0,Nigeria,Electronics,2500,1,2025-01-20,Transfer
